word,lema
abandonar,abandonara
abandonar,abandonará
abandonar,abandonaram
abandonar,abandonaram-nas
abandonar,abandonaram-no
abandonar,abandonaram-se
abandonar,abandonara-o
abandonar,abandonarão
abandonar,abandonarei
abandonar,abandonareis
abandonar,abandonarem
abandonar,abandonaremos
abandonar,abandonares
abandonar,abandonares-me
abandonar,abandonaria
abandonar,abandonariam
abandonar,abandonar-me
abandonar,abandonarmos
abandonar,abandonar-se
abandonar,abandonar-te
abandonar,abandonas
abandonar,abandona-se
abandonar,abandonas-me
abandonar,abandonasse
abandonar,abandonassem
abandonar,abandonaste
abandonar,abandonava
abandonar,abandonava-a
abandonar,abandonavam
abandonar,abandonava-o
abandonar,abandonavas
abandonar,abandonava-se
abandonar,abandone
abandonar,abandone-a
abandonar,abandonei
abandonar,abandonei-a
abandonar,abandonei-lha
abandonar,abandonei-me
abandonar,abandonem
abandonar,abandones
abandonar,abandone-se
abandonar,abandono
abandonar,abandono-a
abandonar,abandono-me
abandonar,abandono-te
abandonar,abandonou
abandonar,abandonou-a
abandonar,abandonou-as
abandonar,abandonou-lhe
abandonar,abandonou-me
abandonar,abandonou-o
abandonar,abandonou-se
abandono,abandonos
abanico,abanicos
abarcar,abarca
abarcar,abarcada
abarcar,abarcadas
abarcar,abarcado
abarcar,abarcam
abarcar,abarcando
abarcar,abarcaram
abarcar,abarcasse
abarcar,abarcassem
abarcar,abarcava
abarcar,abarcavam
abarcar,abarcou
abarcar,abarque
abarcar,abarquem
abarracado,abarracada
abarracado,abarracadas
abarracado,abarracados
abarrotar,abarrota
abarrotar,abarrotada
abarrotar,abarrotadas
abarrotar,abarrotadinho
abarrotar,abarrotado
abarrotar,abarrotados
abarrotar,abarrotando
abarrotar,abarrotando-se
abarrotar,abarrotarem
abarrotar,abarrotava
abarrotar,abarrotavam
abarrotar,abarrotou
abastado,abastada
abastado,abastadas
abastado,abastados
abastança,abastanças
abastardar,abastardam
abastardar,abastardando
abastardar,abastardou
abastecedor,abastecedora
abastecedor,abastecedoras
abastecedor,abastecedores
abastecer,abasteça
abastecer,abasteçam
abastecer,abasteça-se
abastecer,abastece
abastecer,abastecem
abastecer,abastecemo-nos
abastecer,abastecemos
abastecer,abastecem-se
abastecer,abastecendo
abastecer,abastece-nos
abastecer,abastecera
abastecer,abastecerá
abastecer,abasteceram
abastecer,abasteceram-se
abastecer,abastecera-se
abastecer,abastecerem
abastecer,abastecerem-se
abastecer,abastecer-lhe
abastecer,abastecermos
abastecer,abastecer-se
abastecer,abastece-se
abastecer,abastecesse
abastecer,abasteceu
abastecer,abasteceu-se
abastecer,abastecia
abastecer,abasteciam
abastecer,abasteciam-se
abastecer,abastecida
abastecer,abastecidas
abastecer,abastecido
abastecer,abastecidos
abastecer,abasteço-me
abastecimento,abastecimentos
abate,abates
abater,abata
abater,abatam
abater,abate
abater,abatê-lo
abater,abatem
abater,abatem-se
abater,abatendo
abater,abatendo-o
abater,abatendo-se
abater,abatera
abater,abateram
abater,abateram-se
abater,abatera-se
abater,abaterem
abater,abateria
abater,abater-me
abater,abater-se
abater,abater-se-á
abater,abate-se
abater,abate-se-lhe
abater,abatesse
abater,abateu
abater,abateu-o
abater,abateu-se
abater,abatia
abater,abatiam
abater,abatia-se
abater,abatia-se-lhe
abater,abatida
abater,abatidas
abater,abatido
abater,abatidos
abatido,abatida
abatimento,abatimentos
abat-jour,abatjour
abaulado,abaulada
abaulado,abauladas
abaulado,abaulados
abcesso,abcessos
abcissa,abcissas
abdicação,abdicações
abdicar,abdica
abdicar,abdicado
abdicar,abdicam
abdicar,abdicamos
abdicar,abdicando
abdicar,abdicara
abdicar,abdicará
abdicar,abdicaram
abdicar,abdicarão
abdicar,abdicarei
abdicar,abdicarem
abdicar,abdicaremos
abdicar,abdicarmos
abdicar,abdicasse
abdicar,abdicassem
abdicar,abdicaste
abdicar,abdicava
abdicar,abdicavam
abdicar,abdico
abdicar,abdicou
abdicar,abdique
abdicar,abdiquei
abdominal,abdominais
abegão,abegões
abeirar,abeira
abeirar,abeirada
abeirar,abeirado
abeirar,abeiram
abeirar,abeirando-se
abeirar,abeiraram-se
abeirar,abeirarmo-nos
abeirar,abeirar-se
abeirar,abeira-se
abeirar,abeirava
abeirar,abeirava-me
abeirar,abeirava-se
abeirar,abeire
abeirar,abeirei-me
abeirar,abeirou
abeirar,abeirou-se
abelha,abelhas
abelha,abelhinha
abelha,abelha-mãe
abelha-mestra,abelhas-mestras
abençoar,abençoa
abençoar,abençoada
abençoar,abençoadas
abençoar,abençoado
abençoar,abençoados
abençoar,abençoam
abençoar,abençoando
abençoar,abençoará
abençoar,abençoar-lhes
abençoar,abençoasse
abençoar,abençoassem
abençoar,abençoava
abençoar,abençoavas
abençoar,abençoe
abençoar,abençoei
abençoar,abençoou
abençoar,abençoou-a
abençoar,abençoou-as
abençoar,abençoou-nos
abençoar,abençoou-o
abençoar,abençoou-os
aberração,aberraçãozinha
aberração,aberrações
aberrante,aberrantes
aberta,abertas
aberto,aberta
aberto,abertas
aberto,abertíssimos
aberto,abertos
aberto,semiaberta
aberto,semiabertas
aberto,semiaberto
aberto,abertos
abertura,aberturas
abertura,aberturazinha
abeto,abetos
abexim,abexins
abicar,abicarem
abicar,abica-se
abismal,abismais
abismar,abismada
abismar,abismadas
abismar,abismado
abismar,abismados
abismar,abismara
abismar,abismaram-no
abismar,abismar-se
abismar,abisma-se
abismar,abismava
abismar,abismava-se
abismo,abismos
abissal,abissais
abissínio,abissínia
abjecto,abjecta
abjecto,abjectas
abjecto,abjectos
abjecto,abjecta
abjecto,abjectas
abjecto,abjectos
ablação,ablações
abnegação,abnegações
abnegado,abnegada
abnegado,abnegadas
abnegado,abnegados
abóbada,abobada
abóbada,abobadas
abóbada,abóbadas
abobadado,abobadada
abobadado,abobadadas
abobadado,abobadados
abóbora,abóboras
abóbora,abóbora-menina
abocanhar,abocanha
abocanhar,abocanhada
abocanhar,abocanhados
abocanhar,abocanhá-la
abocanhar,abocanhá-lo
abocanhar,abocanham
abocanhar,abocanhando
abocanhar,abocanharam
abocanhar,abocanhar-se
abocanhar,abocanhasse
abocanhar,abocanhava
abocanhar,abocanhavam
abolir,abole
abolir,aboli
abolir,abolia
abolir,abolia-se
abolir,abolida
abolir,abolidas
abolir,abolido
abolir,abolidos
abolir,aboli-lo
abolir,abolindo
abolir,abolira
abolir,abolirá
abolir,aboliram
abolir,aboliremos
abolir,aboliu
abominação,abominações
abominar,abomina
abominar,abominada
abominar,abominam
abominar,abominaria
abominar,abominasse
abominar,abominava
abominar,abominem
abominar,abomino
abominar,abominou
abominável,abomináveis
abonação,abonações
abonar,abona
abonar,abonada
abonar,abonadas
abonar,abonado
abonar,aboná-la
abonar,abonam
abonar,abonar-se-ão
abonar,abonava
abonar,abone
abonar,abono
abonar,abonou
abonatório,abonatória
abonatório,abonatórias
abonatório,abonatórios
abono,abonos
abono,abonozito
abordagem,abordagens
abordar,aborda
abordar,abordada
abordar,abordadas
abordar,abordado
abordar,abordados
abordar,abordá-la
abordar,abordá-lo
abordar,abordá-los
abordar,abordam
abordar,abordamo-lo
abordar,abordamos
abordar,abordámos
abordar,abordam-se
abordar,abordando
abordar,abordando-o
abordar,abordara
abordar,abordará
abordar,abordaram
abordar,abordarão
abordar,abordarem
abordar,abordaremos
abordar,abordaria
abordar,abordarmos
abordar,abordar-se-á
abordar,abordas
abordar,aborda-se
abordar,abordasse
abordar,abordassem
abordar,abordava
abordar,abordavam
abordar,abordávamos
abordar,aborde
abordar,abordei
abordar,abordem
abordar,abordemos
abordar,abordes
abordar,abordo
abordar,abordou
abordar,abordou-a
abordar,abordou-se
aborígene,aborígenes
aborígene,aborígenes
aborrecer,aborreça
aborrecer,aborreçam
aborrecer,aborreças
aborrecer,aborrece
aborrecer,aborrecê-la
aborrecer,aborrecê-lo
aborrecer,aborrecê-los
aborrecer,aborrecem
aborrecer,aborrece-me
aborrecer,aborrecem-me
aborrecer,aborrecem-se
aborrecer,aborrecendo
aborrecer,aborrece-os
aborrecer,aborrecera
aborrecer,aborrecerá
aborrecer,aborreceram
aborrecer,aborrecerem
aborrecer,aborreceres
aborrecer,aborrecer-me
aborrecer,aborrecermos
aborrecer,aborrecer-se
aborrecer,aborreces
aborrecer,aborrece-se
aborrecer,aborreceste-te
aborrecer,aborreceu
aborrecer,aborreceu-me
aborrecer,aborreceu-se
aborrecer,aborreci
aborrecer,aborrecia
aborrecer,aborreciam
aborrecer,aborrecia-me
aborrecer,aborreciam-me
aborrecer,aborrecia-o
aborrecer,aborrecia-se
aborrecer,aborrecida
aborrecer,aborrecidas
aborrecer,aborrecido
aborrecer,aborrecidos
aborrecer,aborreci-me
aborrecer,aborreço
aborrecer,aborreço-me
aborrecido,aborrecida
aborrecido,aborrecidíssimo
aborrecido,aborrecidos
aborrecido,aborrecida
aborrecido,aborrecidas
aborrecido,aborrecidos
aborrecimento,aborrecimentos
abortar,aborta
abortar,abortada
abortar,abortado
abortar,abortados
abortar,abortam
abortar,abortarem
abortar,abortava
abortar,abortavam
abortar,abortou
abortivo,abortivas
aborto,abortos
aborto,anti-aborto
abotoadura,abotoaduras
abotoar,abotoa
abotoar,abotoada
abotoar,abotoadas
abotoar,abotoado
abotoar,abotoados
abotoar,abotoam
abotoar,abotoando
abotoar,abotoar-me
abotoar,abotoar-se
abotoar,abotoas
abotoar,abotoava
abotoar,abotoavam
abotoar,abotoei-me
abotoar,abotoou
abraçadeira,abraçadeiras
abraçado,abraçadas
abraçado,abraçados
abraçar,abraça
abraçar,abraça-a
abraçar,abraça-as
abraçar,abraçada
abraçar,abraçadas
abraçar,abraçado
abraçar,abraçados
abraçar,abraça-la
abraçar,abraçá-la
abraçar,abraçá-la-á
abraçar,abraçá-las
abraçar,abraça-lhe
abraçar,abraçá-lo
abraçar,abraçá-los
abraçar,abraçam
abraçar,abraça-me
abraçar,abraçam-nas
abraçar,abraçámo-lo
abraçar,abraçámo-nos
abraçar,abraçamos
abraçar,abraçámos
abraçar,abraçam-se
abraçar,abraçando
abraçar,abraçando-a
abraçar,abraçando-me
abraçar,abraçando-o
abraçar,abraçando-os
abraçar,abraçando-se
abraçar,abraça-nos
abraçar,abraça-o
abraçar,abraça-os
abraçar,abraçara
abraçar,abraçará
abraçar,abraçara-a
abraçar,abraçaram
abraçar,abraçara-me
abraçar,abraçaram-na
abraçar,abraçaram-se
abraçar,abraçara-o
abraçar,abraçara-se
abraçar,abraçarei
abraçar,abraçarem
abraçar,abraçar-lhe
abraçar,abraçar-me
abraçar,abraçarmo-nos
abraçar,abraçar-nos
abraçar,abraçar-se
abraçar,abraças
abraçar,abraça-se
abraçar,abraçasse
abraçar,abraçasses
abraçar,abraçaste-me
abraçar,abraça-te
abraçar,abraçava
abraçar,abraçava-a
abraçar,abraçavam
abraçar,abraçavam-na
abraçar,abraçavam-nos
abraçar,abraçavam-se
abraçar,abraçava-nos
abraçar,abraçava-o
abraçar,abraçava-se
abraçar,abrace
abraçar,abracei
abraçar,abracei-a
abraçar,abracei-lhe
abraçar,abracei-me
abraçar,abracei-o
abraçar,abracei-te
abraçar,abrace-me
abraçar,abraço
abraçar,abraço-o
abraçar,abraço-os
abraçar,abraço-te
abraçar,abraçou
abraçar,abraçou-a
abraçar,abraçou-lhe
abraçar,abraçou-me
abraçar,abraçou-o
abraçar,abraçou-se
abraçar,abraçou-se-lhe
abraço,abraços
abrandamento,abrandamentos
abrandar,abranda
abrandar,abranda-lo
abrandar,abrandam
abrandar,abrandando
abrandar,abrandara
abrandar,abrandará
abrandar,abrandaram
abrandar,abrandarem
abrandar,abrandaria
abrandar,abrandar-se-lhe
abrandar,abrandasse
abrandar,abrandassem
abrandar,abrandava
abrandar,abrandavam
abrandar,abrande
abrandar,abrandei
abrandar,abrando
abrandar,abrandou
abrangente,abrangentes
abranger,abrange
abranger,abrangê-la
abranger,abrangem
abranger,abrangemos
abranger,abrangendo
abranger,abrangerá
abranger,abrangeram
abranger,abrangerem
abranger,abrangeria
abranger,abrangeriam
abranger,abranger-se
abranger,abranges
abranger,abrange-se
abranger,abrangesse
abranger,abrangeu
abranger,abrangia
abranger,abrangiam
abranger,abrangia-se
abranger,abrangida
abranger,abrangidas
abranger,abrangido
abranger,abrangidos
abranger,abranja
abranger,abranjam
abranger,abranjo
abrasado,abrasada
abrasado,abrasadas
abrasador,abrasadora
abrasador,abrasadoras
abrasão,abrasões
abrasão,micro-abrasão
abrasar,abrasa
abrasar,abrasadas
abrasar,abrasado
abrasar,abrasam
abrasar,abrasando-lhes
abrasar,abrasaram
abrasar,abrasara-o
abrasar,abrasarem
abrasar,abrasar-lhe
abrasar,abrasasse
abrasar,abrasava
abrasar,abrasavam
abrasar,abrase
abrasar,abrasou
abrasivo,abrasiva
abrasivo,abrasivas
abreviar,abrevia
abreviar,abreviada
abreviar,abreviadas
abreviar,abreviado
abreviar,abreviados
abreviar,abreviando
abreviar,abreviei
abreviar,abreviemos
abreviar,abrevio
abreviar,abreviou
abreviatura,abreviaturas
abrigado,abrigada
abrigado,abrigadas
abrigar,abriga
abrigar,abrigada
abrigar,abrigadas
abrigar,abrigado
abrigar,abrigados
abrigar,abrigá-la
abrigar,abrigá-los
abrigar,abrigam
abrigar,abriga-me
abrigar,abrigamos
abrigar,abrigámos
abrigar,abrigam-se
abrigar,abrigando
abrigar,abrigando-me
abrigar,abrigando-se
abrigar,abrigara
abrigar,abrigará
abrigar,abrigaram
abrigar,abrigarem
abrigar,abrigarem-se
abrigar,abrigar-me
abrigar,abrigarmo-nos
abrigar,abrigar-se
abrigar,abrigasse
abrigar,abrigassem
abrigar,abrigava
abrigar,abrigavam
abrigar,abrigávamos
abrigar,abrigavam-se
abrigar,abrigava-se
abrigar,abrigo
abrigar,abrigo-me
abrigar,abrigou
abrigar,abrigou-se
abrigar,abrigue
abrigo,abrigos
abrigo,sem abrigo
abrigo,sem-abrigo
abrilhantar,abrilhantada
abrilhantar,abrilhantadas
abrilhantar,abrilhantado
abrilhantar,abrilhantados
abrilhantar,abrilhantam
abrilhantar,abrilhantando
abrilhantar,abrilhantará
abrilhantar,abrilhantaram
abrilhantar,abrilhanta-se
abrilhantar,abrilhantava
abrilhantar,abrilhantavam
abrir,aberta
abrir,abertas
abrir,aberto
abrir,abra
abrir,abra-a
abrir,abram
abrir,abra-me
abrir,abra-o
abrir,abra-os
abrir,abras
abrir,abra-se
abrir,abre
abrir,abre-a
abrir,abre-lhe
abrir,abre-lhes
abrir,abrem
abrir,abre-me
abrir,abrem-lha
abrir,abrem-lhe
abrir,abrem-me
abrir,abrem-na
abrir,abrem-se
abrir,abre-nos
abrir,abre-o
abrir,abre-os
abrir,abres
abrir,abre-se
abrir,abre-se-me
abrir,abre-se-nos
abrir,abre-se-te
abrir,abres-te
abrir,abre-te
abrir,abri
abrir,abri-a
abrir,abria
abrir,abria-lhe
abrir,abria-lhes
abrir,abriam
abrir,abriam-lhe
abrir,abriam-lhes
abrir,abríamos
abrir,abriam-se
abrir,abriam-se-lhe
abrir,abria-se
abrir,abria-se-lhe
abrir,abria-se-nos
abrir,abria-se-te
abrir,abri-la
abrir,abri-lhe
abrir,abri-lo
abrir,abri-me
abrir,abrimo-la
abrir,abrimo-lo
abrir,abrimo-nos
abrir,abrimos
abrir,abrimos-lhes
abrir,abrindo
abrir,abrindo-a
abrir,abrindo-as
abrir,abrindo-lhe
abrir,abrindo-lhes
abrir,abrindo-me
abrir,abrindo-o
abrir,abrindo-se
abrir,abrindo-se-lhe
abrir,abrira
abrir,abrirá
abrir,abrira-lhe
abrir,abriram
abrir,abriram-lhe
abrir,abriram-no
abrir,abriram-se
abrir,abriram-se-lhe
abrir,abrirão
abrir,abrira-se
abrir,abrira-se-lhe
abrir,abrirei
abrir,abrirem
abrir,abrirem-lhe
abrir,abrirem-na
abrir,abriremos
abrir,abrirem-se
abrir,abrires
abrir,abriria
abrir,abririam
abrir,abriríamos
abrir,abrir-lhe
abrir,abrir-lhe-á
abrir,abrir-lhes
abrir,abrir-lhes-á
abrir,abrir-ma
abrir,abrir-me
abrir,abrirmos
abrir,abrir-nos
abrir,abrir-se
abrir,abrir-se-á
abrir,abrir-se-ão
abrir,abrir-se-ia
abrir,abrir-se-vos-á
abrir,abrisse
abrir,abrissem
abrir,abríssemos
abrir,abriste
abrir,abriu
abrir,abriu-a
abrir,abriu-as
abrir,abriu-lha
abrir,abriu-lhe
abrir,abriu-lhes
abrir,abriu-me
abrir,abriu-nos
abrir,abriu-o
abrir,abriu-os
abrir,abriu-se
abrir,abriu-se-lhe
abrir,abro
abrir,abro-a
abrir,abro-lhe
abrir,abro-me
abrir,abro-o
abrir,abro-te
abrir,abre-latas
abrupto,abrupta
abrupto,abruptas
abrupto,abruptos
absidal,absidais
absolutismo,absolutismos
absolutista,absolutistas
absolutista,absolutistas
absoluto,absoluta
absoluto,absolutas
absoluto,absolutíssima
absoluto,absolutos
absoluto,absolutos
absolver,absoluta
absolver,absolutas
absolver,absolutos
absolver,absolva
absolver,absolve
absolver,absolvê-lo
absolver,absolve-me
absolver,absolvendo
absolver,absolverá
absolver,absolveram
absolver,absolveu
absolver,absolveu-o
absolver,absolvi
absolver,absolviam
absolver,absolvia-o
absolver,absolvida
absolver,absolvido
absolver,absolvidos
absolver,absolvo
absolvição,absolvições
absorção,absorções
absorto,absorta
absorto,absortas
absorto,absortos
absorvente,absorventes
absorvente,absorventíssimo
absorvente,absorventes
absorver,absorta
absorver,absorva
absorver,absorvam
absorver,absorve
absorver,absorve-a
absorver,absorvê-las
absorver,absorvem
absorver,absorve-me
absorver,absorvem-no
absorver,absorvemos
absorver,absorvendo
absorver,absorvendo-o
absorver,absorvendo-os
absorver,absorvendo-se
absorver,absorvera
absorver,absorverá
absorver,absorveram
absorver,absorveram-no
absorver,absorverem
absorver,absorveria
absorver,absorver-lhe
absorver,absorver-me
absorver,absorvermos
absorver,absorver-te
absorver,absorvesse
absorver,absorvessem
absorver,absorveu
absorver,absorveu-o
absorver,absorveu-se
absorver,absorvi
absorver,absorvia
absorver,absorvia-a
absorver,absorviam
absorver,absorvia-me
absorver,absorvida
absorver,absorvidas
absorver,absorvido
absorver,absorvidos
absorver,absorvo-lhe
abstémio,abstémia
abstémio,abstémia
abstémio,abstémios
abstenção,abstenções
abstencionista,abstencionistas
abster,abstém
abster,abstêm
abster,abstém-se
abster,abstêm-se
abster,abstendo-se
abster,abstenham
abster,abstenho
abster,abstenho-me
abster,absterem
abster,absterem-se
abster,absteriam
abster,abster-se
abster,absteve
abster,absteve-se
abster,abstido
abster,abstinha
abster,abstinham
abster,abstinha-se
abster,abstive-me
abster,abstiveram
abster,abstiveram-se
abster,abstivesse
abster,abstivessem
abstinência,abstinências
abstracção,abstracções
abstracto,abstracta
abstracto,abstractas
abstracto,abstractos
abstracto,abstractos
abstrair,abstraí
abstrair,abstraía
abstrair,abstraídas
abstrair,abstraí-me
abstrair,abstraímos
abstrair,abstraindo
abstrair,abstraindo-se
abstrair,abstraírem-se
abstrair,abstrairmos
abstrair,abstrair-se
abstrair,abstraísse
abstrair,abstraiu
abstruso,abstrusa
abstruso,abstrusas
absurdo,absurda
absurdo,absurdas
absurdo,absurdíssimo
absurdo,absurdos
absurdo,absurdos
abúlico,abúlica
abundante,abundantes
abundante,abundantíssima
abundante,abundantíssimas
abundar,abunda
abundar,abundado
abundar,abundam
abundar,abundaram
abundar,abundava
abundar,abundavam
abundar,abundem
abundar,abundou
abusador,abusadores
abusar,abusa
abusar,abusada
abusar,abusadas
abusar,abusado
abusar,abusados
abusar,abusam
abusar,abusámos
abusar,abusando
abusar,abusara
abusar,abusaram
abusar,abusarem
abusar,abusares
abusar,abusaria
abusar,abusar-se
abusar,abusas
abusar,abusa-se
abusar,abusasse
abusar,abusava
abusar,abusavam
abusar,abuse
abusar,abusei
abusar,abusem
abusar,abusou
abusivo,abusiva
abusivo,abusivas
abusivo,abusivos
abuso,abusos
abutre,abutres
acabado,acabada
acabado,acabadas
acabado,acabadinha
acabado,acabadinho
acabado,acabadinhos
acabado,acabadíssimo
acabado,acabados
acabado,acabados
acabamento,acabamentos
acabar,acaba
acabar,acabada
acabar,acabadas
acabar,acabado
acabar,acabados
acabar,acabá-la
acabar,acabá-lo
acabar,acabá-los
acabar,acabam
acabar,acaba-me
acabar,acabamos
acabar,acabámos
acabar,acabam-se
acabar,acabando
acabar,acabando-se
acabar,acabara
acabar,acabará
acabar,acabara-a
acabar,acabaram
acabar,acabáramos
acabar,acabaram-se
acabar,acabarão
acabar,acabaras
acabar,acabarás
acabar,acabara-se
acabar,acabarei
acabar,acabarem
acabar,acabaremos
acabar,acabares
acabar,acabaria
acabar,acabariam
acabar,acabaríamos
acabar,acabar-lhes
acabar,acabarmos
acabar,acabar-se
acabar,acabar-se-ia
acabar,acabas
acabar,acaba-se
acabar,acabasse
acabar,acabassem
acabar,acabássemos
acabar,acabasses
acabar,acabaste
acabar,acabava
acabar,acabava-a
acabar,acabava-lhe
acabar,acabavam
acabar,acabávamos
acabar,acabavam-se
acabar,acabavas
acabar,acabava-se
acabar,acabe
acabar,acabei
acabar,acabei-o
acabar,acabem
acabar,acabe-me
acabar,acabem-me
acabar,acabemos
acabar,acabes
acabar,acabe-se
acabar,acabo
acabar,acabo-lhe
acabar,acabo-o
acabar,acabou
acabar,acabou-lhe
acabar,acabou-o
acabar,acabou-se
acabar,acabou-se-me
acabrunhado,acabrunhada
acabrunhado,acabrunhados
acácia,acácias
academia,academias
académico,académica
académico,académicas
académico,académicos
académico,anti-académico
académico,académica
académico,académicas
académico,académicos
academista,academistas
academista,academistas
acádio,acádia
acádio,acádios
açafata,açafatas
acalentar,acalenta
acalentar,acalentada
acalentar,acalentados
acalentar,acalentá-lo
acalentar,acalentam
acalentar,acalentando
acalentar,acalentarem
acalentar,acalentava
acalentar,acalentavam
acalentar,acalentávamos
acalentar,acalente
acalentar,acalentou
acalmar,acalma
acalmar,acalmada
acalmar,acalmadas
acalmar,acalmado
acalmar,acalmados
acalmar,acalmai
acalmar,acalmá-la
acalmar,acalmá-lo
acalmar,acalmá-los
acalmar,acalmam
acalmar,acalma-me
acalmar,acalmam-me
acalmar,acalmamo-nos
acalmar,acalmando
acalmar,acalmando-o
acalmar,acalmara
acalmar,acalmaram
acalmar,acalmarem
acalmar,acalmar-se
acalmar,acalmar-se-iam
acalmar,acalma-se
acalmar,acalmasse
acalmar,acalmassem
acalmar,acalma-te
acalmar,acalmava
acalmar,acalmavam
acalmar,acalmava-o
acalmar,acalmava-se
acalmar,acalme
acalmar,acalmei
acalmar,acalmem
acalmar,acalme-se
acalmar,acalmo
acalmar,acalmou
acalmar,acalmou-se
acalorado,acalorada
acalorado,acaloradas
acalorado,acalorados
acalorar,acalorada
acalorar,acaloradas
acalorar,acalorado
acalorar,acalorados
acalorar,acalorasse
acamar,acama
acamar,acamada
acamar,acamadas
acamar,acamadinhos
acamar,acamado
acamar,acamados
acamar,acamando
acamar,acamara
acamar,acamava
acamar,acamavam-se
acamaradar,acamaradam
acamaradar,acamaradaram
acamaradar,acamaradavam
acamaradar,acamaradava-se
acamaradar,acamaradou
açambarcar,açambarcado
açambarcar,açambarcados
açambarcar,açambarcava
açambarcar,açambarcou
acampamento,acampamentos
acampar,acampa
acampar,acampada
acampar,acampadas
acampar,acampado
acampar,acampados
acampar,acampam
acampar,acampamos
acampar,acampámos
acampar,acampando
acampar,acampara
acampar,acamparam
acampar,acamparão
acampar,acampas
acampar,acampavam
acampar,acampei
acampar,acampo
acampar,acampou
acanhado,acanhada
acanhado,acanhadinha
acanhado,acanhadinhos
acanhado,acanhados
acanhamento,acanhamentos
acanhar,acanha
acanhar,acanhada
acanhar,acanhadas
acanhar,acanhado
acanhar,acanhados
acanhar,acanhara-se
acanhar,acanhavam
acanhar,acanhava-se
acanhar,acanhe
acanhar,acanhem
acanhar,acanho
acantonar,acantonado
acantonar,acantonam-se
acantonar,acantonar-se
acantonar,acantonem
acantonar,acantonou
acariciar,acaricia
acariciar,acaricia-a
acariciar,acariciada
acariciar,acariciado
acariciar,acariciados
acariciar,acariciá-las
